1,0,0,1,1,10,1,0.5,3.5,8.5,5,5,0,5,2.5,0,5,0,7.5,5
2.5,3.5,2.5,5,1.5,2.5,1,2.5,5,4.5,7.5,5,10,5,5,2.5,5,7.5,1.5,5
0,0,5,2.5,2.5,7.5,2.5,0,0,0,3,3,0,0,0,3,2,7.5,2.5,4
3.4,0.4,0,0,0.4,0,0,0,0,0,0,0,3.4,7.5,0,0,0,6.6,5,0
1.5,1,2.5,5,2.5,1.5,2.5,2.5,0,2.5,0,5,3,3,2,5,6,5,1,3
6.6,4,6.7,10,6.7,6.7,3.3,3.3,6.6,6.6,2.7,0,0,2.5,3.3,3.6,10,3.3,10,4
0,3.3,0,0,0.4,6.7,0,0,0,6.7,0,0,0,10,0,0,0,6.6,3.3,0
0,5,5,10,10,0,5,0,5,0,5,0,10,5,10,5,4,10,10,0
3,6.3,0,10,4.5,5,3.3,6.6,6.7,1.5,2,4,2,4,3,4,2,5,1,2
6.7,1.2,3.4,0,0,0,0,0,3.4,3.4,0,0,3.4,0,6.7,6.7,3.7,10,5,0
